date, pm25, pm10, o3, no2, so2, co
2021/9/19,27.00 ,13.00 , ,9, , 
2021/9/20,25.00 ,12.00 , ,7, , 
2021/9/21,25.00 ,18.00 , ,10, , 
2021/9/22,33.00 ,9.00 , ,10, , 
2021/9/23,19.00 ,14.00 , ,13, , 
2021/9/24,23.00 ,12.00 , ,14, , 
2021/9/25,29.00 ,16.00 , ,12, , 
2021/9/26,36.00 ,15.00 , ,11, , 
2021/9/27,32.00 ,10.00 , ,9, , 
2021/9/28,27.00 ,15.00 , ,14, , 
2021/9/29,28.00 ,13.00 , ,11, , 
2021/9/30,33.00 ,8.00 , ,7, , 
2021/4/1,20.00 ,20.00 , ,6, , 
2021/4/2,22.00 ,13.00 , ,4, , 
2021/4/3,20.00 ,15.00 , ,4, , 
2021/4/4,15.00 ,26.00 , ,2, , 
2021/4/5,16.00 ,29.00 , ,4, , 
2021/4/6,20.00 ,43.00 , ,16, , 
2021/4/7,30.00 ,24.00 , ,8, , 
2021/4/8,19.00 ,11.00 , ,1, , 
2021/4/9,18.00 ,14.00 , ,3, , 
